,N,T,XN,f,x
0,10.0,1.0,0.4740538958906408,0.0,0.4632122398233412
1,10.0,2.0,0.5116818172751477,0.0,0.4864666070118481
2,10.0,3.0,0.5300588596161409,0.0,0.4950213678437506
3,10.0,4.0,0.5389737996311008,0.0,0.4981684727422788
4,10.0,5.0,0.5432948616917435,0.0,0.4993262221448578
5,20.0,1.0,0.4691995992642196,0.0,0.4632122398233412
6,20.0,2.0,0.5026131359201165,0.0,0.4864666070118481
7,20.0,3.0,0.5192679984561253,0.0,0.4950213678437506
8,20.0,4.0,0.5276766136693183,0.0,0.4981684727422788
9,20.0,5.0,0.5319516820655676,0.0,0.4993262221448578
10,50.0,1.0,0.4655218468495661,0.0,0.4632122398233412
11,50.0,2.0,0.4946219809518115,0.0,0.4864666070118481
12,50.0,3.0,0.5087394127402021,0.0,0.4950213678437506
13,50.0,4.0,0.5158264180346005,0.0,0.4981684727422788
14,50.0,5.0,0.5194416255273047,0.0,0.4993262221448578
15,100.0,1.0,0.4641553380922071,0.0,0.4632122398233412
16,100.0,2.0,0.4910047097994949,0.0,0.4864666070118481
17,100.0,3.0,0.5036488115717327,0.0,0.4950213678437506
18,100.0,4.0,0.5099211298994241,0.0,0.4981684727422788
19,100.0,5.0,0.5131067771237512,0.0,0.4993262221448578
20,200.0,1.0,0.4635268346187163,0.0,0.4632122398233412
21,200.0,2.0,0.4887888706731139,0.0,0.4864666070118481
22,200.0,3.0,0.5002568850089861,0.0,0.4950213678437506
23,200.0,4.0,0.5058548960649327,0.0,0.4981684727422788
24,200.0,5.0,0.5086788764446663,0.0,0.4993262221448578
25,300.0,1.0,0.463362644260275,0.0,0.4632122398233412
26,300.0,2.0,0.4879569788516421,0.0,0.4864666070118481
27,300.0,3.0,0.4988502612153396,0.0,0.4950213678437506
28,300.0,4.0,0.5041061903378726,0.0,0.4981684727422788
29,300.0,5.0,0.5067441782111092,0.0,0.4993262221448578
30,500.0,1.0,0.4632695942454941,0.0,0.4632122398233412
31,500.0,2.0,0.4872602407816348,0.0,0.4864666070118481
32,500.0,3.0,0.4975341443036773,0.0,0.4950213678437506
33,500.0,4.0,0.5024056755110228,0.0,0.4981684727422788
34,500.0,5.0,0.5048319227713586,0.0,0.4993262221448578
35,10.0,1.0,0.4721928726128263,1.0,0.4632122398233412
36,10.0,2.0,0.508790320370051,1.0,0.4864666070118481
37,10.0,3.0,0.5273635077802025,1.0,0.4950213678437506
38,10.0,4.0,0.5367950875367073,1.0,0.4981684727422788
39,10.0,5.0,0.5415926765661083,1.0,0.4993262221448578
40,20.0,1.0,0.4673182954033869,1.0,0.4632122398233412
41,20.0,2.0,0.4979810682146163,1.0,0.4864666070118481
42,20.0,3.0,0.512969168450649,1.0,0.4950213678437506
43,20.0,4.0,0.5205427076332907,1.0,0.4981684727422788
44,20.0,5.0,0.5244438100970967,1.0,0.4993262221448578
45,50.0,1.0,0.4644855004971694,1.0,0.4632122398233412
46,50.0,2.0,0.4907977728822371,1.0,0.4864666070118481
47,50.0,3.0,0.5023783065639684,1.0,0.4950213678437506
48,50.0,4.0,0.5076688929498149,1.0,0.4981684727422788
49,50.0,5.0,0.5101360620608153,1.0,0.4993262221448578
50,100.0,1.0,0.4636794924101046,1.0,0.4632122398233412
51,100.0,2.0,0.4884258609194221,1.0,0.4864666070118481
52,100.0,3.0,0.4987243670909581,1.0,0.4950213678437506
53,100.0,4.0,0.5031715533137006,1.0,0.4981684727422788
54,100.0,5.0,0.505128256357102,1.0,0.4993262221448578
55,200.0,1.0,0.4633704302670118,1.0,0.4632122398233412
56,200.0,2.0,0.4872918588580151,1.0,0.4864666070118481
57,200.0,3.0,0.4968467635662217,1.0,0.4950213678437506
58,200.0,4.0,0.5008073961670302,1.0,0.4981684727422788
59,200.0,5.0,0.5024797793864461,1.0,0.4993262221448578
60,300.0,1.0,0.4632966106947951,1.0,0.4632122398233412
61,300.0,2.0,0.4869421794553554,1.0,0.4864666070118481
62,300.0,3.0,0.4962095112173568,1.0,0.4950213678437506
63,300.0,4.0,0.4999779024467616,1.0,0.4981684727422788
