,N,T,XN,f,x
0,10.0,1.0,0.5171105379523881,0.0,0.5
1,10.0,2.0,0.5318868675221565,0.0,0.5
2,10.0,3.0,0.5397290140939888,0.0,0.5
3,10.0,4.0,0.5436381961309782,0.0,0.5
4,10.0,5.0,0.5455513855228042,0.0,0.5
5,10.0,6.0,0.5464818348616809,0.0,0.5
6,10.0,7.0,0.5469333232530762,0.0,0.5
7,10.0,8.0,0.5471522224571744,0.0,0.5
8,10.0,9.0,0.547258321588429,0.0,0.5
9,10.0,10.0,0.54730974158076,0.0,0.5
10,20.0,1.0,0.512506785225564,0.0,0.5
11,20.0,2.0,0.5234002230454271,0.0,0.5
12,20.0,3.0,0.5296000065177539,0.0,0.5
13,20.0,4.0,0.5328936790424543,0.0,0.5
14,20.0,5.0,0.534605130465978,0.0,0.5
15,20.0,6.0,0.5354867887178407,0.0,0.5
16,20.0,7.0,0.5359393103828651,0.0,0.5
17,20.0,8.0,0.5361711942270098,0.0,0.5
18,20.0,9.0,0.5362899301419759,0.0,0.5
19,20.0,10.0,0.5363507084268628,0.0,0.5
20,50.0,1.0,0.5080367071046801,0.0,0.5
21,50.0,2.0,0.5148841188771676,0.0,0.5
22,50.0,3.0,0.5188296114820521,0.0,0.5
23,50.0,4.0,0.5209542493011285,0.0,0.5
24,50.0,5.0,0.5220729631974297,0.0,0.5
25,50.0,6.0,0.5226567527461836,0.0,0.5
26,50.0,7.0,0.5229601936869273,0.0,0.5
27,50.0,8.0,0.5231176247750802,0.0,0.5
28,50.0,9.0,0.5231992307420805,0.0,0.5
29,50.0,10.0,0.5232415137236779,0.0,0.5
30,100.0,1.0,0.505712821999267,0.0,0.5
31,100.0,2.0,0.5105414049875102,0.0,0.5
32,100.0,3.0,0.5133298965007548,0.0,0.5
33,100.0,4.0,0.5148351461390583,0.0,0.5
34,100.0,5.0,0.5156295651799683,0.0,0.5
35,100.0,6.0,0.5160450461263745,0.0,0.5
36,100.0,7.0,0.5162614698754855,0.0,0.5
37,100.0,8.0,0.5163739923991953,0.0,0.5
38,100.0,9.0,0.5164324415503924,0.0,0.5
39,100.0,10.0,0.5164627890308463,0.0,0.5
40,200.0,1.0,0.504050219534003,0.0,0.5
41,200.0,2.0,0.507459878848615,0.0,0.5
42,200.0,3.0,0.5094311291408468,0.0,0.5
43,200.0,4.0,0.5104965076548599,0.0,0.5
44,200.0,5.0,0.5110594248972906,0.0,0.5
45,200.0,6.0,0.5113541549440067,0.0,0.5
46,200.0,7.0,0.5115078438693059,0.0,0.5
47,200.0,8.0,0.511587833305548,0.0,0.5
48,200.0,9.0,0.511629426419849,0.0,0.5
49,200.0,10.0,0.5116510442762798,0.0,0.5
50,300.0,1.0,0.5033098914578576,0.0,0.5
51,300.0,2.0,0.5060926003205236,0.0,0.5
52,300.0,3.0,0.5077019783813473,0.0,0.5
53,300.0,4.0,0.5085721280590676,0.0,0.5
54,300.0,5.0,0.5090320674804637,0.0,0.5
55,300.0,6.0,0.5092729690161971,0.0,0.5
56,300.0,7.0,0.509398633381626,0.0,0.5
57,300.0,8.0,0.5094640598797252,0.0,0.5
58,300.0,9.0,0.5094980922448049,0.0,0.5
59,300.0,10.0,0.5095157864829872,0.0,0.5
60,10.0,1.0,0.5140729603333736,1.0,0.5
61,10.0,2.0,0.5287096743259856,1.0,0.5
62,10.0,3.0,0.5372269578315981,1.0,0.5
63,10.0,4.0,0.5417626624003014,1.0,0.5
64,10.0,5.0,0.5441117977824708,1.0,0.5
65,10.0,6.0,0.5453161325872667,1.0,0.5
66,10.0,7.0,0.5459311562557355,1.0,0.5
67,10.0,8.0,0.546244757356194,1.0,0.5
68,10.0,9.0,0.546404568049754,1.0,0.5
69,10.0,10.0,0.5464859884574755,1.0,0.5
70,20.0,1.0,0.5082852021580847,1.0,0.5
71,20.0,2.0,0.5169486439295207,1.0,0.5
72,20.0,3.0,0.522283612723859,1.0,0.5
