,N,T,XN,f,x,VN
0,10.0,1.0,0.5301563760429253,0.0,0.5,0.02454668615105382
1,10.0,2.0,0.5517668430981453,0.0,0.5,0.030775348798529282
2,20.0,1.0,0.5218741976094587,0.0,0.5,0.012200764218177451
3,20.0,2.0,0.5376027498970888,0.0,0.5,0.01577781804107281
4,50.0,1.0,0.5140218361998466,0.0,0.5,0.004849407451366361
5,50.0,2.0,0.5239206952613196,0.0,0.5,0.006307955200810234
6,100.0,1.0,0.5099599041607928,0.0,0.5,0.002419567512290166
7,100.0,2.0,0.5169442590292852,0.0,0.5,0.0031519586040232306
8,200.0,1.0,0.5070587306565489,0.0,0.5,0.001208505946821148
9,200.0,2.0,0.5119920301342316,0.0,0.5,0.0015754747101138775
10,300.0,1.0,0.5057678019307239,0.0,0.5,0.0008053872937393567
11,300.0,2.0,0.5097943569511867,0.0,0.5,0.0010502043639626923
12,500.0,1.0,0.5044704335035116,0.0,0.5,0.0004830965085118044
13,500.0,2.0,0.5075884800576956,0.0,0.5,0.0006300688100830952
14,1000.0,1.0,0.5031625143750511,0.0,0.5,0.00024149734305461967
15,1000.0,2.0,0.5053668237095202,0.0,0.5,0.0003150142280898826
16,10.0,1.0,0.5295923453014423,0.01,0.5,0.02448020489183078
17,10.0,2.0,0.55082438783025,0.01,0.5,0.030602046571751036
18,20.0,1.0,0.5213723946244491,0.01,0.5,0.012155381410670851
19,20.0,2.0,0.5367494450992596,0.01,0.5,0.015651677324814758
20,50.0,1.0,0.513628105252039,0.01,0.5,0.0048260640450368255
21,50.0,2.0,0.5232486102611211,0.01,0.5,0.006242980876288495
22,100.0,1.0,0.50964343363732,0.01,0.5,0.002406051995630043
23,100.0,2.0,0.5164016887229136,0.01,0.5,0.003114285638885605
24,200.0,1.0,0.5068090489812218,0.01,0.5,0.0012008574119050095
25,200.0,2.0,0.5115618929326671,0.01,0.5,0.001554084905672548
26,300.0,1.0,0.5055518180394766,0.01,0.5,0.0007999476891661916
27,300.0,2.0,0.5094212448419146,0.01,0.5,0.0010349587549516317
28,500.0,1.0,0.5042914486531979,0.01,0.5,0.00047957851609758967
29,500.0,2.0,0.5072782670065434,0.01,0.5,0.0006201817971778768
30,1000.0,1.0,0.5030248713478188,0.01,0.5,0.00023956811022357583
31,1000.0,2.0,0.5051272991880825,0.01,0.5,0.0003095733227725384
32,10.0,1.0,0.5290395964030764,0.02,0.5,0.024415812991888608
33,10.0,2.0,0.5499009348562113,0.02,0.5,0.030434014207483207
34,20.0,1.0,0.5208829736328088,0.02,0.5,0.012111778911683524
35,20.0,2.0,0.5359178757839087,0.02,0.5,0.015530467486522426
36,50.0,1.0,0.5132462599960768,0.02,0.5,0.004803864299657845
37,50.0,2.0,0.5225978313667042,0.02,0.5,0.006181252303999353
38,100.0,1.0,0.5093377522045534,0.02,0.5,0.0023932947643244273
39,100.0,2.0,0.5158787595299348,0.02,0.5,0.003078791940033188
40,200.0,1.0,0.5065688222207151,0.02,0.5,0.0011936913217360234
41,200.0,2.0,0.5111492244324272,0.02,0.5,0.0015340988556953874
42,300.0,1.0,0.5053444818719199,0.02,0.5,0.0007948731285589705
43,300.0,2.0,0.5090642383784987,0.02,0.5,0.0010207824156514
44,500.0,1.0,0.5041201148543586,0.02,0.5,0.0004763143458595409
45,500.0,2.0,0.5069824360954743,0.02,0.5,0.0006110440000474671
46,1000.0,1.0,0.5028936133616672,0.02,0.5,0.00023779115805000473
47,1000.0,2.0,0.5048999112892945,0.02,0.5,0.00030458601634014704
48,10.0,1.0,0.5274466631761972,0.05,0.5,0.02423449672336153
49,10.0,2.0,0.5472404202052764,0.05,0.5,0.029959875766775168
50,20.0,1.0,0.5194857315798926,0.05,0.5,0.011990932822053324
51,20.0,2.0,0.5335473882179262,0.05,0.5,0.015194405506468722
52,50.0,1.0,0.5121681688392746,0.05,0.5,0.004743553509676979
53,50.0,2.0,0.5207656467080995,0.05,0.5,0.006013844315284789
54,100.0,1.0,0.5084814686027121,0.05,0.5,0.0023591398650073536
55,100.0,2.0,0.514419665819704,0.05,0.5,0.002984070396181093
56,200.0,1.0,0.505901002299835,0.05,0.5,0.0011747797551071582
57,200.0,2.0,0.5100078501041168,0.05,0.5,0.0014816041669082347
58,300.0,1.0,0.5047706190050136,0.05,0.5,0.0007815925482184682
59,300.0,2.0,0.5080818156005418,0.05,0.5,0.0009838896675029574
60,500.0,1.0,0.5036484884601262,0.05,0.5,0.0004678606814288999
61,500.0,2.0,0.5061735083577915,0.05,0.5,0.0005875373083612523
62,1000.0,1.0,0.502534955299536,0.05,0.5,0.00023325373308374922
63,1000.0,2.0,0.504283423605502,0.05,0.5,0.00029195499739836933
64,10.0,1.0,0.5249960066059812,0.1,0.5,0.02396810847069486
65,10.0,2.0,0.5431488068326417,0.1,0.5,0.02926033923370458
66,20.0,1.0,0.5173755000905678,0.1,0.5,0.011818851734249179
67,20.0,2.0,0.5299763962383218,0.1,0.5,0.014715363433396187
68,50.0,1.0,0.5105750156290261,0.1,0.5,0.00466099513929602
69,50.0,2.0,0.5180710880615476,0.1,0.5,0.005785287027645913
70,100.0,1.0,0.5072354398533595,0.1,0.5,0.002313715999873679
71,100.0,2.0,0.5123103518198904,0.1,0.5,0.0028587366344030585
72,200.0,1.0,0.5049435821024191,0.1,0.5,0.0011503325531481699
73,200.0,2.0,0.5083851670700216,0.1,0.5,0.0014142513426865788
74,300.0,1.0,0.5039549105964645,0.1,0.5,0.0007647048303451862
75,300.0,2.0,0.5066984608658566,0.1,0.5,0.0009373911550918934
76,500.0,1.0,0.502985218137915,0.1,0.5,0.00045733030600131336
77,500.0,2.0,0.5050479913718278,0.1,0.5,0.0005585630459903347
78,1000.0,1.0,0.5020377393588906,0.1,0.5,0.0002277567151857118
79,1000.0,2.0,0.5034392844471836,0.1,0.5,0.00027684539057815094
80,10.0,1.0,0.5207696631437511,0.2,0.5,0.02354580396523881
81,10.0,2.0,0.536092253465682,0.2,0.5,0.028142541847439417
82,20.0,1.0,0.5138551856283361,0.2,0.5,0.011560931024285627
83,20.0,2.0,0.5240379870344639,0.2,0.5,0.013995180087573222
84,50.0,1.0,0.5080187785800652,0.2,0.5,0.004545711295947885
85,50.0,2.0,0.5137731614732158,0.2,0.5,0.005466776611380564
