,N,T,XN,f,x
0,10.0,1.0,0.5393272041473145,0.0,0.5
1,10.0,2.0,0.5816805700470157,0.0,0.5
2,10.0,3.0,0.6106046007397684,0.0,0.5
3,10.0,4.0,0.6296871706286042,0.0,0.5
4,10.0,5.0,0.6422062467735581,0.0,0.5
5,20.0,1.0,0.529552122210563,0.0,0.5
6,20.0,2.0,0.5651023610900353,0.0,0.5
7,20.0,3.0,0.5940052057779682,0.0,0.5
8,20.0,4.0,0.6162726831841668,0.0,0.5
9,20.0,5.0,0.6332602582532597,0.0,0.5
10,50.0,1.0,0.5191446780855553,0.0,0.5
11,50.0,2.0,0.5424802958443402,0.0,0.5
12,50.0,3.0,0.5636029703557299,0.0,0.5
13,50.0,4.0,0.5821567071676426,0.0,0.5
14,50.0,5.0,0.5983532263067187,0.0,0.5
15,100.0,1.0,0.5136406136924664,0.0,0.5
16,100.0,2.0,0.5301416787654074,0.0,0.5
17,100.0,3.0,0.5451850694577159,0.0,0.5
18,100.0,4.0,0.5586958794372262,0.0,0.5
19,100.0,5.0,0.5709327462382504,0.0,0.5
20,200.0,1.0,0.5096819522078768,0.0,0.5
21,200.0,2.0,0.5213475276855529,0.0,0.5
22,200.0,3.0,0.5319850521387841,0.0,0.5
23,200.0,4.0,0.5415477419407851,0.0,0.5
24,200.0,5.0,0.5502374027295565,0.0,0.5
25,300.0,1.0,0.5079152452273724,0.0,0.5
26,300.0,2.0,0.5174394852332869,0.0,0.5
27,300.0,3.0,0.5261248602895546,0.0,0.5
28,300.0,4.0,0.5339329648415908,0.0,0.5
29,300.0,5.0,0.5410284514978827,0.0,0.5
30,500.0,1.0,0.5061372995145956,0.0,0.5
31,500.0,2.0,0.513514334355094,0.0,0.5
32,500.0,3.0,0.5202419173227044,0.0,0.5
33,500.0,4.0,0.5262901682300769,0.0,0.5
34,500.0,5.0,0.5317864836161136,0.0,0.5
35,10.0,1.0,0.5386245891525936,0.01,0.5
36,10.0,2.0,0.5803359976357407,0.01,0.5
37,10.0,3.0,0.6088327091783118,0.01,0.5
38,10.0,4.0,0.6276250326996113,0.01,0.5
39,10.0,5.0,0.6399445127489518,0.01,0.5
40,20.0,1.0,0.5289034320941106,0.01,0.5
41,20.0,2.0,0.5637535176243454,0.01,0.5
42,20.0,3.0,0.5920767632179812,0.01,0.5
43,20.0,4.0,0.6138762526358714,0.01,0.5
44,20.0,5.0,0.6304870557158052,0.01,0.5
45,50.0,1.0,0.5186265926243085,0.01,0.5
46,50.0,2.0,0.5413538150945605,0.01,0.5
47,50.0,3.0,0.5618577080187294,0.01,0.5
48,50.0,4.0,0.5797972701939255,0.01,0.5
49,50.0,5.0,0.595402218247837,0.01,0.5
50,100.0,1.0,0.5132210737902689,0.01,0.5
51,100.0,2.0,0.5292194472364384,0.01,0.5
52,100.0,3.0,0.5437313765227119,0.01,0.5
53,100.0,4.0,0.5566788309764351,0.01,0.5
54,100.0,5.0,0.5683260536670482,0.01,0.5
55,200.0,1.0,0.5093492265647693,0.01,0.5
56,200.0,2.0,0.5206091184784405,0.01,0.5
57,200.0,3.0,0.5308109497235448,0.01,0.5
58,200.0,4.0,0.5399046673438757,0.01,0.5
59,200.0,5.0,0.5480934521849669,0.01,0.5
60,300.0,1.0,0.5076267405875878,0.01,0.5
61,300.0,2.0,0.5167959495689995,0.01,0.5
62,300.0,3.0,0.525097278316943,0.01,0.5
63,300.0,4.0,0.5324896453082925,0.01,0.5
64,300.0,5.0,0.5391389600766628,0.01,0.5
65,500.0,1.0,0.5058976171699862,0.01,0.5
66,500.0,2.0,0.5129765646463746,0.01,0.5
67,500.0,3.0,0.5193792332939581,0.01,0.5
68,500.0,4.0,0.525073678702882,0.01,0.5
69,500.0,5.0,0.5301884420787294,0.01,0.5
70,10.0,1.0,0.5379355048574399,0.02,0.5
71,10.0,2.0,0.5790157873788657,0.02,0.5
72,10.0,3.0,0.6070919334022479,0.02,0.5
73,10.0,4.0,0.6255983836552949,0.02,0.5
74,10.0,5.0,0.6377211472480689,0.02,0.5
75,20.0,1.0,0.5282702088721802,0.02,0.5
76,20.0,2.0,0.5624362127917796,0.02,0.5
77,20.0,3.0,0.5901930867097391,0.02,0.5
78,20.0,4.0,0.6115348118669066,0.02,0.5
79,20.0,5.0,0.6277765530006075,0.02,0.5
80,50.0,1.0,0.51812370133603,0.02,0.5
81,50.0,2.0,0.5402615197048956,0.02,0.5
82,50.0,3.0,0.56016866794603,0.02,0.5
83,50.0,4.0,0.5775172703200169,0.02,0.5
84,50.0,5.0,0.5925531839450356,0.02,0.5
85,100.0,1.0,0.5128154775462226,0.02,0.5
86,100.0,2.0,0.5283296148785134,0.02,0.5
87,100.0,3.0,0.5423335025469904,0.02,0.5
88,100.0,4.0,0.5547458719001348,0.02,0.5
89,100.0,5.0,0.5658356111479201,0.02,0.5
90,200.0,1.0,0.5090288224331883,0.02,0.5
91,200.0,2.0,0.5199001115283894,0.02,0.5
92,200.0,3.0,0.5296887597859598,0.02,0.5
93,200.0,4.0,0.5383417217255071,0.02,0.5
94,200.0,5.0,0.5460633841909159,0.02,0.5
95,300.0,1.0,0.5073495509536317,0.02,0.5
96,300.0,2.0,0.5161797893455716,0.02,0.5
97,300.0,3.0,0.5241186051495079,0.02,0.5
98,300.0,4.0,0.5311225904730308,0.02,0.5
99,300.0,5.0,0.5373588409352138,0.02,0.5
100,500.0,1.0,0.5056679898799775,0.02,0.5
101,500.0,2.0,0.5124635050198415,0.02,0.5
102,500.0,3.0,0.5185612699359661,0.02,0.5
103,500.0,4.0,0.5239276847009834,0.02,0.5
104,500.0,5.0,0.5286924507483165,0.02,0.5
105,10.0,1.0,0.5359466913369002,0.05,0.5
106,10.0,2.0,0.5751966818233811,0.05,0.5
107,10.0,3.0,0.6020508165292349,0.05,0.5
108,10.0,4.0,0.6197256682022705,0.05,0.5
109,10.0,5.0,0.6312756655210556,0.05,0.5
110,20.0,1.0,0.5264593735424765,0.05,0.5
111,20.0,2.0,0.5586654206049377,0.05,0.5
112,20.0,3.0,0.5847996874885208,0.05,0.5
113,20.0,4.0,0.6048281203365158,0.05,0.5
114,20.0,5.0,0.620008803790589,0.05,0.5
115,50.0,1.0,0.5167013581509917,0.05,0.5
116,50.0,2.0,0.5371779459265769,0.05,0.5
117,50.0,3.0,0.5554185605460643,0.05,0.5
118,50.0,4.0,0.5711253759150647,0.05,0.5
119,50.0,5.0,0.5845829855409468,0.05,0.5
120,100.0,1.0,0.5116773130595846,0.05,0.5
121,100.0,2.0,0.5258414232449227,0.05,0.5
122,100.0,3.0,0.5384500881626851,0.05,0.5
123,100.0,4.0,0.549412157575404,0.05,0.5
124,100.0,5.0,0.5590058629842737,0.05,0.5
125,200.0,1.0,0.50813657660637,0.05,0.5
126,200.0,2.0,0.5179359424072302,0.05,0.5
127,200.0,3.0,0.5266068811003276,0.05,0.5
128,200.0,4.0,0.5340888914682911,0.05,0.5
129,200.0,5.0,0.5405890013635921,0.05,0.5
130,300.0,1.0,0.5065810464136288,0.05,0.5
131,300.0,2.0,0.5144820260646324,0.05,0.5
132,300.0,3.0,0.5214487281653933,0.05,0.5
133,300.0,4.0,0.5274325210034337,0.05,0.5
134,300.0,5.0,0.532603454494455,0.05,0.5
135,500.0,1.0,0.5050348533286939,0.05,0.5
136,500.0,2.0,0.5110593442873099,0.05,0.5
137,500.0,3.0,0.5163483575684,0.05,0.5
138,500.0,4.0,0.5208652139030405,0.05,0.5
139,500.0,5.0,0.5247427871054439,0.05,0.5
140,10.0,1.0,0.5275563982748618,0.2,0.5
141,10.0,2.0,0.558923652368683,0.2,0.5
142,10.0,3.0,0.5804854683947396,0.2,0.5
143,10.0,4.0,0.5945563634120037,0.2,0.5
144,10.0,5.0,0.6036261542360728,0.2,0.5
145,20.0,1.0,0.5191087829669733,0.2,0.5
146,20.0,2.0,0.5432818807062734,0.2,0.5
147,20.0,3.0,0.5627928045878876,0.2,0.5
148,20.0,4.0,0.5774667169897866,0.2,0.5
149,20.0,5.0,0.5883186519052079,0.2,0.5
150,50.0,1.0,0.5111854034904684,0.2,0.5
151,50.0,2.0,0.5252780261578593,0.2,0.5
152,50.0,3.0,0.5373649635051496,0.2,0.5
153,50.0,4.0,0.5471899469555351,0.2,0.5
154,50.0,5.0,0.5550978063346388,0.2,0.5
155,100.0,1.0,0.5074033402921473,0.2,0.5
156,100.0,2.0,0.5165903496269575,0.2,0.5
157,100.0,3.0,0.5243557235324022,0.2,0.5
158,100.0,4.0,0.530571157641536,0.2,0.5
159,100.0,5.0,0.5355074694936531,0.2,0.5
160,200.0,1.0,0.5048884581122173,0.2,0.5
161,200.0,2.0,0.5108892716686231,0.2,0.5
162,200.0,3.0,0.5158844922647989,0.2,0.5
163,200.0,4.0,0.5197969402778155,0.2,0.5
164,200.0,5.0,0.5228233006947123,0.2,0.5
165,300.0,1.0,0.5038326730535779,0.2,0.5
166,300.0,2.0,0.50851378705596,0.2,0.5
167,300.0,3.0,0.5123790438261118,0.2,0.5
168,300.0,4.0,0.5153718412311191,0.2,0.5
169,300.0,5.0,0.5176543939107645,0.2,0.5
170,500.0,1.0,0.5028200440296092,0.2,0.5
171,500.0,2.0,0.5062457508540942,0.2,0.5
172,500.0,3.0,0.5090480494665752,0.2,0.5
173,500.0,4.0,0.5111891506438987,0.2,0.5
174,500.0,5.0,0.5127957224720405,0.2,0.5
175,10.0,1.0,0.519503973892791,0.4,0.5
176,10.0,2.0,0.5429869090106314,0.4,0.5
177,10.0,3.0,0.559231260772761,0.4,0.5
178,10.0,4.0,0.5697134621731729,0.4,0.5
179,10.0,5.0,0.5763462256259373,0.4,0.5
180,20.0,1.0,0.5125456410890976,0.4,0.5
181,20.0,2.0,0.5293557743827579,0.4,0.5
182,20.0,3.0,0.5428866774701382,0.4,0.5
183,20.0,4.0,0.5528196204522801,0.4,0.5
184,20.0,5.0,0.5599146358018263,0.4,0.5
185,50.0,1.0,0.5066676175868309,0.4,0.5
186,50.0,2.0,0.5155168684543969,0.4,0.5
187,50.0,3.0,0.522905980378351,0.4,0.5
188,50.0,4.0,0.528570655694378,0.4,0.5
189,50.0,5.0,0.5328028244536818,0.4,0.5
190,100.0,1.0,0.5041113473987775,0.4,0.5
